id;name;population_2020_VPN_tab_4_Tom_1;zanytoe_popul_2020_tab_6.2;procent_rabotayushih;2020_in_worker_na rabotu_in_subject_tab_6.25;2020_out_worker_from_subject_tab_6.25;procent_worker_in_another_subject;procent_worker_from_another_subject;trud_migr_otnositelnaya_beetween_subjects
76;Ярославская область;1209,811;603;0,498424961;7,301324392;14,78317739;0,024516049;0,012108332;-1,240771641
77;Москва;13010,112;7129;0,547958388;1442,029608;13,40362311;0,001880155;0,202276562;20,03964069
78;Санкт-Петербург;5601,911;3007;0,536781109;206,1586567;8,158139955;0,00271305;0,06855958;6,584653034
79;Еврейская автономная область;150,453;73;0,485201359;2,347577596;7,030878747;0,096313407;0,032158597;-6,415481029
80;Донецкая Народная Республика;0;0;0;0;0;0;0;0
81;Луганская народная Республика;0;0;0;0;0;0;0;0
82;Республика Крым;1934,63;867;0,448147708;9,94324078;7,857436263;0,009062787;0,011468559;0,240577222
83;Ненецкий автономный округ;41,434;20;0,482695371;2,728672415;0;0;0,136433621;13,64336208
84;Херсонская область;0;0;0;0;0;0;0;0
85;Запорожская область;0;0;0;0;0;0;0;0
86;Ханты-Мансийский автономный округ – Югра;1711,48;884;0,516512025;188,5900435;7,364673258;0,008331078;0,213337153;20,50060749
87;Чукотский автономный округ;47,49;30;0,631711939;3,96415948;0;0;0,132138649;13,21386493
89;Ямало-Ненецкий автономный округ;510,49;302;0,591588474;123,600402;0,071472222;0,000236663;0,409272854;40,90361913
